player,season_window,attempts,mean_sdi,actual_rate,expected_rate,residual,sport,position_group
Matt Dumba,2014-2024,1865,28.76584357693727,0.04611260053619303,0.041970685606650654,0.004141914929542377,NHL,D
Dmitry Orlov,2014-2024,1851,28.95535049927831,0.039978390059427334,0.041894427891656816,-0.0019160378322294822,NHL,D
Evan Rodrigues,2014-2024,1848,25.537104867089774,0.058982683982683984,0.06720157176888242,-0.008218887786198434,NHL,C
Joel Eriksson Ek,2014-2024,1847,23.218493159341357,0.0768814293448836,0.09130584954405009,-0.014424420199166496,NHL,C
Carter Verhaeghe,2014-2024,1845,23.392429903325038,0.0970189701897019,0.082264319057611,0.014754651132090901,NHL,C
Nico Hischier,2014-2024,1845,20.818242654238936,0.0959349593495935,0.09636008714883618,-0.0004251277992426833,NHL,C
Miro Heiskanen,2014-2024,1833,28.070031405162158,0.041462084015275506,0.04422901792979841,-0.002766933914522901,NHL,D
Elias Pettersson,2014-2024,1832,23.84403324515485,0.1064410480349345,0.07839971289926617,0.028041335135668324,NHL,C
Pavel Buchnevich,2014-2024,1830,23.361608135841085,0.10218579234972677,0.0820045125387457,0.02018127981098107,NHL,W
Ryan Getzlaf,2014-2024,1826,25.330909086505454,0.06078860898138007,0.06383361140457504,-0.00304500242319497,NHL,C
Tyler Myers,2014-2024,1826,28.3641233029692,0.03450164293537788,0.03973939898039607,-0.005237756045018194,NHL,D
Nicklas Backstrom,2014-2024,1825,23.990462180123476,0.09150684931506849,0.07421361157689353,0.017293237738174955,NHL,C
Radko Gudas,2014-2024,1825,32.13929063922804,0.020273972602739727,0.0294599569739526,-0.009185984371212874,NHL,D
Ryan Johansen,2014-2024,1818,23.431663889993924,0.09460946094609461,0.08285997262223435,0.01174948832386026,NHL,C
Tage Thompson,2014-2024,1812,24.848170292241438,0.09713024282560706,0.06929681017421645,0.027833432651390613,NHL,C
Mike Matheson,2014-2024,1812,28.51145965497557,0.041390728476821195,0.042498744403632244,-0.0011080159268110484,NHL,D
Trevor Lewis,2014-2024,1804,25.838482793230245,0.04933481152993348,0.06659851679826843,-0.017263705268334956,NHL,C
Andre Burakovsky,2014-2024,1798,23.613532717456128,0.09566184649610679,0.0710777576878776,0.024584088808229196,NHL,W
Jesper Bratt,2014-2024,1798,24.46253398826317,0.08453837597330367,0.07888180248572398,0.005656573487579697,NHL,W
Cody Ceci,2014-2024,1791,30.82219327676469,0.02959240647682859,0.03680334686406937,-0.007210940387240784,NHL,D
Brett Pesce,2014-2024,1791,29.754219922900777,0.026242322724734785,0.03887501174613227,-0.012632689021397484,NHL,D
Ivan Provorov,2014-2024,1783,28.556533759383086,0.0443073471676949,0.040212266701094984,0.004095080466599912,NHL,D
Hampus Lindholm,2014-2024,1782,28.752373918271232,0.04040404040404041,0.03903487132483166,0.0013691690792087471,NHL,D
Cam Fowler,2014-2024,1777,27.221526051467908,0.050647158131682614,0.04283614853320131,0.007811009598481307,NHL,D
Derick Brassard,2014-2024,1774,24.2122557932972,0.08511837655016911,0.07575153027742819,0.009366846272740925,NHL,C
Marcus Johansson,2014-2024,1770,22.563808696595714,0.08757062146892655,0.0815946616975977,0.005975959771328851,NHL,W
Roope Hintz,2014-2024,1765,21.001525606152196,0.11388101983002832,0.0950563214429945,0.018824698387033822,NHL,C
Damon Severson,2014-2024,1763,28.382073980675504,0.041406693136698806,0.04432722977963973,-0.002920536642940924,NHL,D
Wayne Simmonds,2014-2024,1748,21.534137613173534,0.08695652173913043,0.09082729585049254,-0.0038707741113621075,NHL,W
Jack Hughes,2014-2024,1745,24.517807266294017,0.0836676217765043,0.07987255731103786,0.003795064465466444,NHL,C
Kirill Kaprizov,2014-2024,1742,24.508834507029995,0.1148105625717566,0.07633088263182916,0.038479679939927444,NHL,W
Evgenii Dadonov,2014-2024,1725,22.64319389153103,0.0910144927536232,0.08767854842852922,0.003335944325093973,NHL,W
Martin Necas,2014-2024,1714,25.92325022180032,0.07934655775962661,0.06893396963218539,0.010412588127441225,NHL,C
Patrick Marleau,2014-2024,1713,21.12744173623735,0.08231173380035026,0.08216765914498816,0.00014407465536209196,NHL,C
Jason Robertson,2014-2024,1703,24.406567334305983,0.1092190252495596,0.07998640237714523,0.029232622872414377,NHL,W
